0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/4/2026,1/6/2026,1/8/2026,1/11/2026,1/14/2026,1/15/2026,1/18/2026,1/20/2026,1/22/2026,1/27/2026,1/29/2026,2/1/2016,2/3/2026,2/5/2026,2/7/2026,2/10/2026,2/12/2026,2/15/2026,2/17/2026,2/19/2026,2/22/2026,24-Feb,2/26/2026,3/1/2026,3/3/2026,3/5/2026,3/8/2026,3/10/2026,3/12/2026,3/15/2026,3/17/2026,3/19/2026,3/22/2026,3/24/2026,3/26/2026,3/29/2026,3/31/2026,4/2/2026,4/5/2026,4/7/2026,4/9/2026,4/12/2026,4/14/2026,4/16/2026,4/19/2026,4/21/2026,4/23/2026
Product #,Product Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616400,"ROLL, HOAGIE WHITE 3.5 OZ 8 SLICED COOKED BAKED FROZEN BAG HEARTH SUBMARIN",13,7,4,8,12,9,6,4,12,5,12,12,10,12,6,4,12,8,7,4,10,4,12,8,6,12,10,6,12,6,3,12,11,7,4,10,4,0,8,5,12,6,2,9,5,4,12
207498,"BREAD, WHEAT BERRY 17 SLICED 11/16 LOAF FROZEN",3,3,8,8,8,1,8,8,8,5,8,8,6,0,8,8,8,8,4,3,1,8,8,8,8,9,9,8,8,8,8,8,2,8,6,5,7,0,8,8,8,8,8,8,6,6,8
2633394,"BREAD, RYE MARBLE 17 SLICED 5/8 LOAF BAKED FROZEN",0,8,8,8,8,1,8,8,8,5,8,8,6,0,8,8,8,8,4,2,10,8,8,8,8,,0,8,8,8,8,8,10,8,6,5,,0,8,8,8,,8,5,5,3,2
4320487,"CHILI, BEEF NO BEAN RTU TUB FROZEN",3,1,6,5,3,2,1,6,5,2,6,4,2,7,6,5,3,1,5,6,2,0,5,3,1,6,5,3,2,0,6,4,3,,5,3,2,6,6,5,3,2,0,5,4,1,6
5602354,"APPETIZER, CHEESE MOZZARELLA BREADED ITALIAN STICK 3.25 TFF RAW FROZEN BAG",0,0,4,0,0,4,0,4,4,0,4,4,0,4,0,0.5,4,0,4,8,0,3,2,,6,,,,4,0,4,4,1.8,4,8,4,,0,,4,4,,4,4,4,1,0
4182234,"APPETIZER, POTATO PEPPER CHEDDAR BREADED FROZEN SOUTHWESTERN MUNCHER",0,6,6,6,0,0,1,6,6,0,6,6,6,0,6,0,6,5,6,6,0,6,6,0.5,,1,1,12,6,6,0,6,1,6,6,6,1,6,6,6,,,6,6,,2.666666667,12
3041423,"CORN DOG, ALL-MEAT FROZEN",1,0.25,1,0.5,0.75,1.5,0.5,0.5,1.5,1,0,0.5,0,1,0.5,0,1,0,2,1,1,0,1,0.75,,1,,1.5,1.5,0.5,0,0.5,0,1,1,1,,1,0.5,0.25,1.25,1,0.25,1,,0.5,0.5
4328910,"HOT DOG, ALL-BEEF 5:1 6 ROLLER GRILL COOKED FROZEN",0,2,1,1,0.5,0.5,0.5,0.25,1,1,1,1,0.5,2,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,,1,1,1,1.5,0.5,2,1,2,0,2,2,1,0.5,0.5,,1,10,0.5,0.5,0,2,2,1.5
2725042,"CHICKEN, WING 1ST-and-2ND-JOINT MEDIUM RAW CVP REF UNFLAVORED",9,8,3,10,6,10,2,9,6,2,0,9,9,12,9,7,7,5,13,4,12,6,6,9,8,11,6,7,10,2,8,8,7,7,11,4,7,10,10,11,6,6,6,5,9,8,10
2720977,"CHICKEN, BREAST DOUBLE-LOBE RANDOM BONELESS SKINLESS RAW REF CVP JUMBO",1,5,4,3,2,3,1,2,2,2,3,2,1,5,6,3,3,2,3,1,3,2,1,1,3.5,4,3,1,3,2,2.5,4,2,1,3,3,2,5,2,1,3,3,1,1,4,2,7
