0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/7/2026,1/11/2026,1/14/2016,1/18/2026,1/21/2026,1/28/2026,2/1/2026,2/7/2026,2/11/2026,2/15/2026,2/18/2026,2/22/2026,2/25/2026,3/1/2026,3/4/2026,3/8/2026,3/10/2026,3/15/2026,3/18/2026,3/22/2026,3/25/2026,3/29/2026,4/1/2026,4/5/2026,4/7/2026,4/10/2026,4/11/2026,4/15/2026,4/19/2026,4/22/2026
Product #,Product Name,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity
3002128,"SALT, KOSHER NOT IODIZED GRANULATED COARSE BOX SHELF STABLE",2,4,6,4,3,4,4,3,5,3,3,2,3,3,3,3,3,6,3,4,3,4,3,2,2,2,2,2,1,3
3056553,"SUGAR, RAW CANE CRYSTAL BAG TURBINADO",9,8,7,6,9,8,7,6,6,7,7,6,7,7,6,8,6,2,4,5,5,4,5,4,4,4,5,4,4,3
2006625,"JUICE, PINEAPPLE 100% CAN SHELF STABLE",1,15,16,13,9,8,7,5,5,1,12,10,10,7,6,4,1,9,8,6,6,4,2,13,14,12,12,2,21,18
7221484,"JUICE, GRAPEFRUIT RUBY RED 100% PLASTIC BOTTLE SHELF STABLE",1.416666667,40,48,48,44,20,24,37,41,1.5,38,38,34,33,35,30,34,24,28,27,28,24,24,24,24,24,23,24,24,23
2327856,"JUICE, ORANGE 100% VITAMIN C ADDED ASEPTIC CARTON SHELF STABLE",9,9,8,8,8,8,7,6,-,6,6,6,5,5,6,6,5,6,5,4,4,4,4,4,3,3,3,3,,0
6310726,"JUICE, CRANBERRY DRINK 27% BAR PAC MIXER PLASTIC BOTTLE SHELF STABLE",7,7,6,5,4,2,0,9,9,8,7,6,5,4,4,2,2,1,11,10,10,9,9,8,7,6,6,6,5,3
6033922,"BAR MIX, SWEET and SOUR LEMON SHELF STABLE COCKTAIL",3,2,2,3,5,4,3,5,5,1,8,7,7,6,5,4,4,2,2,6,5,5,4,4,4,3,3,3,2,2
9057316,"BAR MIX, LIME FOIL BAG SHELF STABLE COCKTAIL",0,3,3,3,3,1,1,0,12,11,11,9,8,5,12,8,9,7,7,8,8,6,7,7,6,6,6,5,4,4
18267,"BAR MIX, MARGARITA CONCENTRATE 7:1 PLASTIC BOTTLE SHELF STABLE COCKTAIL",3,3,3,3,3,2,2,2,1.5,6,6,5,5,5,4.5,8,4,4,4,4,4,3,3,3,3,3,3,3,2,2
3161452,"BAR MIX, MANGO PUREE CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",0,22,12,24,26,25,23,23,10,12,24,8,23,22,9,12,22,11,11,10,20,15,20,20,19,19,19,18,7,6
